Mario Kart 64 (Originals),Filename (audio),Mario Kart DS Retro,Mario Kart Wii (Retro),Mario Kart 7 (Retro),Mario Kart 8/ Mario Kart 8 Deluxe (Retro),Mario Kart 8 Deluxe Booster Course Pass (Retro),Mario Kart Tour (retro),Mario Kart World (retro),Super Smash Bros Brawl,Super Smash Bros 4 (3DS),Super Smash Bros 4 (Wii U),Super Smash Brothers Ultimate,Sources,To-do
Banshee Boardwalk,banshee_boardwalk,N64 Banshee Boardwalk,,,,,,,,,,,https://www.mariowiki.com/Classic_course ,See if any of the music themes like the title screen are used in another game and reference it
Bowser's Castle (N64),bowsers_castle,,N64 Bowser's Castle,,,,,,,,,,Mario Kart Pc Port (SpagetthiKart),
Choco Mountain,choco_mountain,N64 Choco Mountain,,,,N64 Choco Mountain,N64 Choco Mountain,Choco Mountain (N64),,,,,,
D.K.'s Jungle Parkway,dk_jungle,,N64 DK's Jungle Parkway,,,,,N64 DK's Jungle Parkway (music only),,,,,Mario Kart World Listings may need be checked,
Frappe Snowland,frappe_snowland,N64 Frappe Snowland,N64 Sherbet Land (music only) - different courses same music,,,,N64 Frappe Snowland,N64 Frappe Snowland/Sherbet Land (music only) - Day & Night,,,,,Maybe references in other games and remixes can be added too?,
Kalimari Desert,kalimari_desert,,,N64 Kalimari Desert,,N64 Kalimari Desert,N64 Kalimari Desert,N64 Kalimari Desert (music only),,,,,"Specifically Nintendo made games like Smash, new super mario bros wii, etc.",
Koopa Troopa Beach,koopa_troopa_beach,,,N64 Koopa Beach,,,N64 Koopa Troopa Beach,N64 Koopa Troopa Beach (music only) - Day & Night,,,,,,
Luigi Raceway,luigi_raceway,,N64 Mario Raceway (music only) - different courses same music,N64 Luigi Raceway,N64 Royal Raceway (music only) - different courses same music,,N64 Luigi Raceway,N64 Wario Stadium (music only) - different course with same music,Luigi Circuit (Mario Kart 64) (music only) - remix,Luigi Raceway (MK64) (music only) - remix,Luigi Raceway (MK64) (music only) - remix,Luigi Raceway (MK64) (music only) - remix,https://www.ssbwiki.com/List_of_SSBU_Music_(Mario_Kart_series),
Mario Raceway,mario_raceway,,N64 Mario Raceway,N64 Luigi Raceway (music only) - different courses same music,N64 Royal Raceway (music only) - different courses same music,,N64 Mario Raceway,N64 Wario Stadium (music only) - different course with same music,Luigi Circuit (Mario Kart 64) (music only) - remix,Luigi Raceway (MK64) (music only) - remix,Luigi Raceway (MK64) (music only) - remix,Luigi Raceway (MK64) (music only) - remix,https://www.ssbwiki.com/Music_(SSB4-Wii_U),
Moo Moo Farm,moo_moo_farm,N64 Moo Moo Farm,,,N64 Yoshi Valley (music only) - different courses same music,,N64 Moo Moo Farm (music only) - different course with same music,N64 Moo Moo Farm/Yoshi Valley (music only),,,,,https://www.ssbwiki.com/Music_(SSBB)#Mario_Kart,
N64 Rainbow Road,rainbow_road,,,,N64 Rainbow Road,,,N64 Rainbow Road (music only),,,,,https://www.mariowiki.com/World_9_(New_Super_Mario_Bros._Wii),
N64 Wario Stadium,wario_stadium,,N64 Mario Raceway (music only) - different courses same music,N64 Luigi Raceway (music only) - different courses same music,N64 Royal Raceway (music only) - different courses same music,,N64 Luigi/Mario/Royal Raceway (music only) - different course with same music,Wario Stadium (N64),Luigi Circuit (music only) - remix,Luigi Raceway (MK64) (music only) - remix,Luigi Raceway (MK64) (music only) - remix,Luigi Raceway (MK64) (music only) - remix,Supposedly World 9 from New Super Mario Bros wii is a rainbow road version,
Royal Raceway,royal_raceway,,N64 Mario Raceway (music only) - different courses same music,N64 Luigi Raceway (music only) - different courses same music,N64 Royal Raceway,,N64 Royal Raceway,N64 Wario Stadium (music only) - different course with same music,Luigi Circuit (Mario Kart 64) (music only) - remix,Luigi Raceway (MK64) (music only) - remix,Luigi Raceway (MK64) (music only) - remix,Luigi Raceway (MK64) (music only) - remix,,
Sherbet Land (N64),frappe_snowland,,N64 Sherbet Land,,,,N64 Frappe Snowland (music only) - different course with same music,N64 Frappe Snowland/Sherbet Land (music only) - Day & Night,,,,,,
Toad's Turnpike,toads_turnpike,,,,N64 Toad's Turnpike,,,N64 Toad's Turnpike (music only),,,,,,
Yoshi Valley,yoshi_valley,,,,N64 Yoshi Valley,,N64 Yoshi Valley,N64 Moo Moo Farm/Yoshi Valley (music only),,,,,,
,,,,,,,,,,,,,,
Battle Courses,,,,,,,,,,,,,,
Big Donut,battle_arenas,,N64 Skyscraper (music only) - different courses same music,N64 Big Donut,,,,Big Donut (N64),,,,,,
Block Fort,block_fort,Block Fort (N64),,,,N64 Choco Mountain (music only) - different courses same music,,Choco Mountain (N64) - music only (different courses with same music),,,,,,
Double Deck,double_deck,,,,,N64 Choco Mountain (music only) - different courses same music,,Choco Mountain (N64) - music only (different courses with same music),,,,,,
Skyscraper,battle_arenas,,N64 Skyscraper,N64 Big Donut (music only) - different courses same music,,,,Big Donut (N64) - music only (different course with same music),,,,,,
,,,,,,,,,,,,,,
Important Audio,,,,,,,,,,,,,,
Sound Player,sound_player,,,,,,,,,,,,,
Title Screen,title_screen,,,,,,,,,,,,,
Main Screen / Select Screen,main_menu,,,,,,,,,,,,,
Start Grid GP/VS,start_grid_gp_vs,,,,,,,,,,,,,
Final Lap Fanfare,final_lap_fanfare,,,,,,,,,,,,,
Finish 1st Place,finish_1st_place,,,,,,,,,,,,,
Finish 2nd-4th Place,finish_2nd_4th_place,,,,,,,,,,,,,
Finish 5th-8th Place,finish_5th_8th_place,,,,,,,,,,,,,
Winning Results,winning_results,,,,,,,,,,,,,
Star Jingle,star_jingle,,,,,,,,,,,,,
Game Over,game_over,,,,,,,,,,,,,
Start Grid Time Attack,start_gird_time_attack,,,,,,,,,,,,,
VS Battle Results,vs_battle_results,,,,,,,,,,,,,
Losing Results,losing_results,,,,,,,,,,,,,
Award Ceremony Buildup,award_ceremony_buildup,,,,,,,,,,,,,
Award Ceremony 1st-3rd,award_ceremony_1st_3rd,,,,,,,,,,,,,
Award Ceremony 4th-8th,award_ceremony_4th_8th,,,,,,,,,,,,,
Staff Roll,staff_roll,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Mario kart 64 songs nintendo music ost:,,,,,,,,,,,,,,
Song Name,Filename,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Mario kart 64 Title Screen,title_screen,,,,,,,,,,,,,
Selection Screens,main_menu,,,,,,,,,,,,,
Luigi Raceway,raceways_wario_stadium,,,,,,,,,,,,,
Moo Moo Farm,moo_moo_farm_yoshi_valley,,,,,,,,,,,,,
Koopa Troopa Beach,koopa_troopa_beach,,,,,,,,,,,,,
Kalimari Desert,kalimari_desert,,,,,,,,,,,,,
Toad's Turnpike,toads_turnpike,,,,,,,,,,,,,
Frappe Snowland,frappe_snowland,,,,,,,,,,,,,
Choco Mountain,choco_mountain,,,,,,,,,,,,,
Mario Raceway,raceways_wario_stadium,,,,,,,,,,,,,
Wario Stadium,raceways_wario_stadium,,,,,,,,,,,,,
Sherbet Land,frappe_snowland,,,,,,,,,,,,,
Royal Raceway,raceways_wario_stadium,,,,,,,,,,,,,
Bowser's Castle,bowsers_castle,,,,,,,,,,,,,
D.k.'s jungle pathway,dk_jungle,,,,,,,,,,,,,
Yoshi Valley,moo_moo_farm_yoshi_valley,,,,,,,,,,,,,
Banshee Boardwalk,banshee_boardwalk,,,,,,,,,,,,,
Rainbow Road,rainbow_road,,,,,,,,,,,,,
Battle Arenas,battle_arenas,,,,,,,,,,,,,
Starting Grid (Grand Prix / VS Race),start_grid_gp_vs,,,,,,,,,,,,,
Starting Grid (Time Trials / Battle),start_gird_time_attack,,,,,,,,,,,,,
Super Star,star_jingle,,,,,,,,,,,,,
Final Lap!,final_lap_fanfare,,,,,,,,,,,,,
Finish (1st Place),finish_1st_place,,,,,,,,,,,,,
Finish (2nd - 4th Place),finish_2nd_4th_place,,,,,,,,,,,,,
Finish (5th -8th Place),finish_5th_8th_place,,,,,,,,,,,,,
Results (1st - 4th Place),winning_results,,,,,,,,,,,,,
Results (5th - 8th Place),losing_results,,,,,,,,,,,,,
Results (Time Trials),vs_battle_results,,,,,,,,,,,,,
Awards Ceremony (1st - 3rd Place),award_ceremony_1st_3rd,,,,,,,,,,,,,
Awards Ceremony (4th - 8th Place),award_ceremony_4th_8th,,,,,,,,,,,,,
Staff Credits,staff_roll,,,,,,,,,,,,,
